Cap_do,Cap_up,demand_th,demand_el,pv,wind
0.062,0.317,0.122,0.724,0.005,0.312
0.046,0.299,0.133,0.735,0.0,0.621
0.005,0.142,0.144,0.794,0.0,0.62
0.02,0.173,0.151,0.802,0.0,0.487
0.038,0.034,0.145,0.781,0.0,0.175
0.029,0.084,0.131,0.749,0.0,0.175
0.035,0.036,0.105,0.738,0.0,0.312
0.029,0.018,0.076,0.732,0.0,0.49
0.025,0.037,0.071,0.7,0.0,0.176
0.009,0.029,0.097,0.663,0.0,0.176
0.104,0.044,0.1,0.634,0.0,0.176
0.064,0.027,0.106,0.616,0.0,0.176
0.06,0.014,0.123,0.604,0.0,0.176
0.023,0.009,0.167,0.599,0.0,0.078
0.045,0.037,0.223,0.576,0.0,0.078
0.016,0.01,0.246,0.535,0.0,0.078
0.009,0.004,0.231,0.55,0.0,0.078
0.078,0.226,0.208,0.587,0.026,0.078
0.085,0.069,0.189,0.636,0.23,0.177
0.023,0.079,0.173,0.681,0.351,0.176
0.102,0.241,0.161,0.719,0.265,0.486
0.042,0.066,0.155,0.71,0.327,0.486
0.041,0.168,0.154,0.684,0.144,0.175
0.093,0.044,0.156,0.664,0.057,0.486
0.02,0.276,0.162,0.655,0.014,0.62
0.038,0.203,0.176,0.664,0.0,0.75
0.048,0.181,0.192,0.731,0.0,0.487
0.02,0.173,0.201,0.764,0.0,0.622
0.02,0.049,0.192,0.756,0.0,0.488
0.007,0.338,0.174,0.727,0.0,0.49
0.044,0.089,0.14,0.727,0.0,0.314
0.015,0.028,0.1,0.761,0.0,0.314
0.001,0.027,0.095,0.735,0.0,0.492
0.036,0.028,0.124,0.704,0.0,0.177
0.047,0.033,0.126,0.69,0.0,0.315
0.041,0.009,0.132,0.679,0.0,0.314
0.045,0.029,0.147,0.667,0.0,0.493
0.048,0.023,0.183,0.667,0.0,0.314
0.024,0.003,0.252,0.7,0.0,0.314
0.019,0.004,0.298,0.787,0.0,0.492
0.024,0.012,0.279,0.875,0.0,0.314
0.089,0.038,0.258,0.9,0.058,0.492
0.055,0.07,0.24,0.897,0.19,0.491
0.015,0.13,0.221,0.906,0.257,0.313
0.001,0.02,0.211,0.914,0.274,0.312
0.06,0.037,0.205,0.907,0.408,0.311
0.074,0.093,0.205,0.904,0.132,0.077
0.057,0.005,0.208,0.893,0.247,0.311
0.039,0.077,0.214,0.881,0.035,0.175
0.01,0.006,0.225,0.873,0.0,0.176
0.05,0.02,0.241,0.932,0.0,0.078
0.017,0.093,0.25,0.948,0.0,0.176
0.008,0.017,0.239,0.926,0.0,0.175
0.014,0.056,0.221,0.884,0.0,0.487
0.035,0.084,0.184,0.856,0.0,0.175
0.057,0.004,0.127,0.856,0.0,0.311
0.031,0.003,0.121,0.817,0.0,0.311
0.029,0.003,0.124,0.785,0.0,0.311
0.03,0.021,0.126,0.767,0.0,0.174
0.043,0.024,0.132,0.744,0.0,0.31
0.042,0.007,0.147,0.727,0.0,0.31
0.0,0.03,0.183,0.723,0.0,0.174
0.014,0.014,0.252,0.744,0.0,0.486
0.024,0.027,0.298,0.812,0.0,0.485
0.038,0.015,0.279,0.896,0.0,0.31
0.024,0.189,0.258,0.912,0.021,0.484
0.06,0.196,0.24,0.905,0.059,0.308
0.11,0.179,0.221,0.912,0.036,0.483
0.097,0.251,0.211,0.917,0.223,0.741
0.038,0.272,0.205,0.909,0.386,0.609
0.011,0.016,0.205,0.904,0.055,0.477
0.039,0.262,0.208,0.894,0.032,0.477
0.052,0.224,0.214,0.886,0.014,0.736
0.005,0.102,0.225,0.883,0.0,0.478
0.005,0.175,0.241,0.942,0.0,0.61
0.005,0.067,0.25,0.954,0.0,0.738
0.025,0.286,0.239,0.935,0.0,0.612
0.057,0.265,0.221,0.89,0.0,0.611
0.081,0.181,0.184,0.864,0.0,0.739
0.005,0.043,0.127,0.86,0.0,0.877
0.001,0.025,0.121,0.817,0.0,0.942
